top - 13:27:55 up 1 day,  4:11,  4 users,  load average: 2,15, 2,54, 2,66
Tasks: 275 total,   2 running, 271 sleeping,   0 stopped,   2 zombie
%Cpu(s): 41,7 us,  6,7 sy,  0,0 ni, 51,7 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15817,2 total,   1891,0 free,   6145,4 used,   7780,8 buff/cache
MiB Swap:   4096,0 total,   4085,4 free,     10,6 used.   7643,4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  50274 root      20   0       0      0      0 I   0,0   0,0   0:00.35 kworker/u8:7-btrfs-endio+
  50631 leksil    20   0 1131,0g 291304 129876 S   0,0   1,8   0:55.28 msedge
  50940 root       0 -20       0      0      0 I   0,0   0,0   0:02.63 kworker/u9:3-hci0
  51010 leksil    20   0 1130,0g 166052 119296 S   0,0   1,0   0:03.94 msedge
  51219 leksil    20   0 1426580 194392 165540 S   0,0   1,2   0:04.60 dolphin
  51400 leksil    20   0 1483908 196468 164088 S   0,0   1,2   0:23.83 dolphin
  51576 root      20   0       0      0      0 I   0,0   0,0   0:00.35 kworker/2:2-events
  51586 leksil    20   0 2973324 402240 204596 S   0,0   2,5   0:30.55 plasmashell
  51678 leksil    20   0 1129,9g  67512  47616 S   0,0   0,4   0:00.03 msedge
  51742 leksil    20   0    7816   3560   3432 S   0,0   0,0   0:00.00 zoom
  51752 leksil    20   0  543788 149768 113408 S   0,0   0,9   0:00.05 zoom
  51753 leksil    20   0  543772 149620 113408 S   0,0   0,9   0:00.05 zoom
  51765 leksil    20   0  543772  38256   1920 S   0,0   0,2   0:00.00 zoom
  51780 leksil    20   0 1974508 190544 137052 S   0,0   1,2   0:00.10 zoom
  51808 leksil    20   0  963356 170520 131664 S   0,0   1,1   0:00.08 zoom
  52207 root      20   0       0      0      0 I   0,0   0,0   0:01.22 kworker/0:1-events
  52219 root      20   0       0      0      0 I   0,0   0,0   0:01.16 kworker/0:3-events
  53050 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0-events
  53280 root      20   0       0      0      0 I   0,0   0,0   0:00.06 kworker/u8:8-btrfs_disca+
  53542 leksil    20   0 1071704 190520 164176 S   0,0   1,2   0:01.31 konsole
  53557 leksil    20   0   14568  10916   4736 S   0,0   0,1   0:00.33 zsh
  53561 leksil    20   0    9836   3924   1920 S   0,0   0,0   0:00.00 zsh
  53591 leksil    20   0   12772   6164   1792 S   0,0   0,0   0:00.00 zsh
  53592 leksil    20   0   12756   5652   1280 S   0,0   0,0   0:00.00 zsh
  53594 leksil    20   0    3456   1664   1536 S   0,0   0,0   0:00.00 gitstatusd-linu
  53636 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/1:1-events
  54142 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/3:2
  54551 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker/1:0-events
  54562 root      20   0       0      0      0 I   0,0   0,0   0:00.02 kworker/u8:2-flush-btrfs+
  54564 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0-events
  54801 leksil    20   0 1441360 193112 162880 S   0,0   1,2   0:02.44 dolphin
  54821 leksil    20   0  256,1g  26624  23936 S   0,0   0,2   0:00.03 kioslave5
  54823 leksil    20   0  239960  28640  25568 S   0,0   0,2   0:00.04 kioslave5
  54948 leksil    20   0  899492 162704 142820 S   0,0   1,0   0:00.21 kioslave5
  54975 leksil    20   0 1065952 183704 158056 S   0,0   1,1   0:01.01 konsole
  54990 leksil    20   0   13668  10152   4864 S   0,0   0,1   0:00.69 zsh
  55017 leksil    20   0   10800   4328   1920 S   0,0   0,0   0:00.00 zsh
  55026 leksil    20   0   12716   6160   1792 S   0,0   0,0   0:00.00 zsh
  55028 leksil    20   0   12700   5776   1408 S   0,0   0,0   0:00.00 zsh
  55029 leksil    20   0    3456   1536   1536 S   0,0   0,0   0:00.00 gitstatusd-linu
  55068 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker/0:2
  55116 leksil    20   0   10908   4268   3500 R   0,0   0,0   0:00.00 top
